Code,Region,Income,Country_Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,,,,,,,,,,,,,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4221.407478
BHS,Latin America & Caribbean,High income,"Bahamas, The",6340.787031,6624.992453,7168.160885,7698.083032,8877.705915,9893.042003,10344.32265,11156.55725,11387.70908,12163.43977,12356.231,11919.83357,11686.73974,11406.85813,11814.43471,12238.60461,12708.64145,22036.10068,23514.17756,26130.01296,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28583.0233,30065.1602,31776.05559,31732.91914,32376.50917,33290.02814,33799.41769,25194.02514
BHR,Middle East & North Africa,High income,Bahrain,8537.71587,9269.269617,9446.084577,9421.356947,9590.541794,8706.766601,7041.634447,7554.932192,7958.747925,8031.00482,8529.052127,9055.644407,9082.827988,9698.15289,10130.3762,10376.9533,10544.79468,10672.23776,10076.26988,10401.56215,13636.41675,12868.17692,13049.90973,14222.0368,15846.50595,17959.39683,19307.50894,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24085.95599,23551.93009,20409.9528
BGD,South Asia,Lower middle income,Bangladesh,227.7519265,247.6496168,220.718797,204.4176901,213.9966386,245.4539123,233.6580722,253.9744737,270.6996009,285.8292169,306.2687008,293.1604211,293.6449876,300.5557477,299.5330371,329.4240761,394.7174919,401.4986674,407.4291762,409.5431838,418.0689421,415.0344043,413.0802826,446.3106757,475.2919302,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081,1855.740094,1961.613749
BRB,Latin America & Caribbean,High income,Barbados,4010.81119,4398.824866,4580.97053,4851.099555,5271.729836,5500.414114,6019.653244,6605.779219,6999.876116,7717.177449,7711.295456,7714.742746,7444.178173,7819.570003,8121.561919,8335.899293,8851.046458,9315.967566,10459.44247,10914.28224,11268.42006,11209.42112,11361.51677,11699.37047,12512.57797,13822.74175,15199.56753,16770.66103,17092.58214,15885.41018,16056.37098,16458.35321,16249.67395,16451.27931,16489.07224,16524.8995,16900.04829,17391.66891,17745.25537,18148.49785,15373.8547
BLR,Europe & Central Asia,Upper middle income,Belarus,,,,,,,,,,,2124.767944,,,,1739.81405,1323.273088,1452.507105,1394.508484,1515.530743,1212.045978,1276.493985,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6424.152176
BEL,Europe & Central Asia,High income,Belgium,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25244.27505,23041.53473,22995.15752,24887.56133,30587.66841,35364.37533,36795.97688,38672.70594,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44089.31009,47519.5531,46591.49161,45159.34822
BLZ,Latin America & Caribbean,Upper middle income,Belize,1373.216845,1328.774121,1202.793176,1232.853202,1337.03762,1289.390744,1366.041674,1612.331335,1788.00132,2011.946797,2197.161593,2326.724165,2668.531422,2834.688425,2882.152083,2997.760458,3003.182627,2954.227237,2993.033599,3066.095138,3364.491731,3404.420586,3526.081513,3650.60647,3802.26316,3885.034074,4155.323885,4252.395404,4404.308198,4186.519998,4270.780085,4423.496842,4505.600593,4568.641228,4718.436581,4770.232656,4856.973249,4945.857699,5001.422157,5078.809944,4115.177008
BEN,Sub-Saharan Africa,Low income,Benin,378.0443051,337.9783717,322.7774529,271.1298442,252.869785,244.4109417,303.3490356,344.5031468,346.7366313,311.6780452,393.686768,385.7538407,317.962736,411.9261797,279.666749,367.3877143,387.4320982,361.0999824,379.4417675,551.8214294,512.673902,518.0674741,574.9297982,711.2849548,798.7443045,822.7851431,856.0549166,966.2036183,1125.426134,1088.757906,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,1291.040972
BMU,North America,High income,Bermuda,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113023.1856,117098.4463,107079.4798
